"Step","../output/proxy_Cleaned_date.json - train/loss","../output/proxy_Cleaned_date.json - train/loss__MIN","../output/proxy_Cleaned_date.json - train/loss__MAX"
"0","2.1837","2.1837","2.1837"
"1","2.0991","2.0991","2.0991"
"2","2.1261","2.1261","2.1261"
"3","2.1378","2.1378","2.1378"
"4","2.143","2.143","2.143"
"5","2.0921","2.0921","2.0921"
"6","2.1377","2.1377","2.1377"
"7","2.078","2.078","2.078"
"8","2.0938","2.0938","2.0938"
"9","2.0985","2.0985","2.0985"
"10","2.1261","2.1261","2.1261"
"11","2.0755","2.0755","2.0755"
"12","2.0359","2.0359","2.0359"
"13","2.0552","2.0552","2.0552"
"14","1.9752","1.9752","1.9752"
"15","1.9735","1.9735","1.9735"
"16","1.9754","1.9754","1.9754"
"17","1.965","1.965","1.965"
"18","1.938","1.938","1.938"
"19","1.9357","1.9357","1.9357"
"20","1.9669","1.9669","1.9669"
"21","1.887","1.887","1.887"
"22","1.9605","1.9605","1.9605"
"23","1.9421","1.9421","1.9421"
"24","1.9681","1.9681","1.9681"
"25","1.8329","1.8329","1.8329"
"26","1.8992","1.8992","1.8992"
"27","1.8563","1.8563","1.8563"
"28","1.9265","1.9265","1.9265"
"29","1.8974","1.8974","1.8974"
"30","1.9672","1.9672","1.9672"
"31","1.8582","1.8582","1.8582"
"32","1.8888","1.8888","1.8888"
"33","1.9142","1.9142","1.9142"
"34","1.9102","1.9102","1.9102"
"35","1.8774","1.8774","1.8774"
"36","1.9081","1.9081","1.9081"
"37","1.848","1.848","1.848"
"38","1.9833","1.9833","1.9833"
"39","1.8905","1.8905","1.8905"
"40","1.8744","1.8744","1.8744"
"41","1.9212","1.9212","1.9212"
"42","1.8086","1.8086","1.8086"
"43","1.8523","1.8523","1.8523"
"44","1.9057","1.9057","1.9057"
"45","1.7996","1.7996","1.7996"
"46","1.9088","1.9088","1.9088"
"47","1.8334","1.8334","1.8334"
"48","1.9054","1.9054","1.9054"
"49","1.8679","1.8679","1.8679"
"50","1.8975","1.8975","1.8975"
"51","1.893","1.893","1.893"
"52","1.9151","1.9151","1.9151"
"53","1.9454","1.9454","1.9454"
"54","1.8502","1.8502","1.8502"
"55","1.8257","1.8257","1.8257"
"56","1.8794","1.8794","1.8794"
"57","1.8422","1.8422","1.8422"
"58","1.8195","1.8195","1.8195"
"59","1.8324","1.8324","1.8324"
"60","1.9176","1.9176","1.9176"
"61","1.8074","1.8074","1.8074"
"62","1.8014","1.8014","1.8014"
"63","1.8354","1.8354","1.8354"
"64","1.8342","1.8342","1.8342"
"65","1.8969","1.8969","1.8969"
"66","1.8597","1.8597","1.8597"
"67","1.8921","1.8921","1.8921"
"68","1.7981","1.7981","1.7981"
"69","1.8407","1.8407","1.8407"
"70","1.8208","1.8208","1.8208"
"71","1.8832","1.8832","1.8832"
"72","1.8143","1.8143","1.8143"
"73","1.8502","1.8502","1.8502"
"74","1.8196","1.8196","1.8196"
"75","1.8965","1.8965","1.8965"
"76","1.818","1.818","1.818"
"77","1.8145","1.8145","1.8145"
"78","1.8829","1.8829","1.8829"
"79","1.8331","1.8331","1.8331"
"80","1.8834","1.8834","1.8834"
"81","1.835","1.835","1.835"
"82","1.8045","1.8045","1.8045"
"83","1.8279","1.8279","1.8279"
"84","1.8184","1.8184","1.8184"
"85","1.8265","1.8265","1.8265"
"86","1.8782","1.8782","1.8782"
"87","1.7497","1.7497","1.7497"
"88","1.8801","1.8801","1.8801"
"89","1.8265","1.8265","1.8265"
"90","1.851","1.851","1.851"
"91","1.8","1.8","1.8"
"92","1.8475","1.8475","1.8475"
"93","1.8393","1.8393","1.8393"
"94","1.8308","1.8308","1.8308"
"95","1.8596","1.8596","1.8596"
"96","1.8244","1.8244","1.8244"
"97","1.8031","1.8031","1.8031"
"98","1.7934","1.7934","1.7934"
"99","1.823","1.823","1.823"
"100","1.852","1.852","1.852"
"101","1.7119","1.7119","1.7119"
"102","1.8555","1.8555","1.8555"
"103","1.8549","1.8549","1.8549"
"104","1.8093","1.8093","1.8093"
"105","1.7649","1.7649","1.7649"
"106","1.8385","1.8385","1.8385"
"107","1.8702","1.8702","1.8702"
"108","1.8492","1.8492","1.8492"
"109","1.8974","1.8974","1.8974"
"110","1.8447","1.8447","1.8447"
"111","1.8054","1.8054","1.8054"
"112","1.8469","1.8469","1.8469"
"113","1.8729","1.8729","1.8729"
"114","1.741","1.741","1.741"
"115","1.7944","1.7944","1.7944"
"116","1.8478","1.8478","1.8478"
"117","1.8065","1.8065","1.8065"
"118","1.7802","1.7802","1.7802"
"119","1.8276","1.8276","1.8276"
"120","1.7796","1.7796","1.7796"
"121","1.8522","1.8522","1.8522"
"122","1.88","1.88","1.88"
"123","1.8505","1.8505","1.8505"
"124","1.8298","1.8298","1.8298"
"125","1.7973","1.7973","1.7973"
"126","1.8293","1.8293","1.8293"
"127","1.8007","1.8007","1.8007"
"128","1.8693","1.8693","1.8693"
"129","1.846","1.846","1.846"
"130","1.836","1.836","1.836"
"131","1.7857","1.7857","1.7857"
"132","1.8786","1.8786","1.8786"
"133","1.8381","1.8381","1.8381"
"134","1.7306","1.7306","1.7306"
"135","1.833","1.833","1.833"
"136","1.7118","1.7118","1.7118"
"137","1.7248","1.7248","1.7248"
"138","1.7604","1.7604","1.7604"
"139","1.8541","1.8541","1.8541"
"140","1.7817","1.7817","1.7817"
"141","1.8721","1.8721","1.8721"
"142","1.7447","1.7447","1.7447"
"143","1.7589","1.7589","1.7589"
"144","1.7737","1.7737","1.7737"
"145","1.7695","1.7695","1.7695"
"146","1.7343","1.7343","1.7343"
"147","1.841","1.841","1.841"
"148","1.7942","1.7942","1.7942"
"149","1.7589","1.7589","1.7589"
"150","1.7448","1.7448","1.7448"
"151","1.7175","1.7175","1.7175"
"152","1.7238","1.7238","1.7238"
"153","1.7591","1.7591","1.7591"
"154","1.7722","1.7722","1.7722"
"155","1.7282","1.7282","1.7282"
"156","1.801","1.801","1.801"
"157","1.75","1.75","1.75"
"158","1.7135","1.7135","1.7135"
"159","1.7916","1.7916","1.7916"
"160","1.7446","1.7446","1.7446"
"161","1.7175","1.7175","1.7175"
"162","1.7056","1.7056","1.7056"
"163","1.784","1.784","1.784"
"164","1.7969","1.7969","1.7969"
"165","1.7941","1.7941","1.7941"
"166","1.7224","1.7224","1.7224"
"167","1.7364","1.7364","1.7364"
"168","1.7497","1.7497","1.7497"
"169","1.716","1.716","1.716"
"170","1.7815","1.7815","1.7815"
"171","1.75","1.75","1.75"
"172","1.7472","1.7472","1.7472"
"173","1.7479","1.7479","1.7479"
"174","1.7917","1.7917","1.7917"
"175","1.8407","1.8407","1.8407"
"176","1.7786","1.7786","1.7786"
"177","1.8351","1.8351","1.8351"
"178","1.7211","1.7211","1.7211"
"179","1.7154","1.7154","1.7154"
"180","1.8068","1.8068","1.8068"
"181","1.7666","1.7666","1.7666"
"182","1.7668","1.7668","1.7668"
"183","1.7709","1.7709","1.7709"
"184","1.7924","1.7924","1.7924"
"185","1.7058","1.7058","1.7058"
"186","1.7235","1.7235","1.7235"
"187","1.8293","1.8293","1.8293"
"188","1.7514","1.7514","1.7514"
"189","1.7989","1.7989","1.7989"
"190","1.7396","1.7396","1.7396"
"191","1.751","1.751","1.751"
"192","1.707","1.707","1.707"
"193","1.7774","1.7774","1.7774"
"194","1.7671","1.7671","1.7671"
"195","1.8163","1.8163","1.8163"
"196","1.6919","1.6919","1.6919"
"197","1.8086","1.8086","1.8086"
"198","1.8371","1.8371","1.8371"
"199","1.7814","1.7814","1.7814"
"200","1.8698","1.8698","1.8698"
"201","1.8196","1.8196","1.8196"
"202","1.7329","1.7329","1.7329"
"203","1.8026","1.8026","1.8026"
"204","1.7662","1.7662","1.7662"
"205","1.7912","1.7912","1.7912"
"206","1.7453","1.7453","1.7453"
"207","1.7618","1.7618","1.7618"
"208","1.7911","1.7911","1.7911"
"209","1.7456","1.7456","1.7456"
"210","1.7255","1.7255","1.7255"
"211","1.8","1.8","1.8"
"212","1.8104","1.8104","1.8104"
"213","1.7597","1.7597","1.7597"
"214","1.7997","1.7997","1.7997"
"215","1.7451","1.7451","1.7451"
"216","1.8079","1.8079","1.8079"
"217","1.7052","1.7052","1.7052"
"218","1.7584","1.7584","1.7584"
"219","1.7317","1.7317","1.7317"
"220","1.7696","1.7696","1.7696"
"221","1.8335","1.8335","1.8335"
"222","1.7413","1.7413","1.7413"
"223","1.865","1.865","1.865"
"224","1.7861","1.7861","1.7861"
"225","1.791","1.791","1.791"
"226","1.811","1.811","1.811"
"227","1.7219","1.7219","1.7219"
"228","1.7735","1.7735","1.7735"
"229","1.8498","1.8498","1.8498"
"230","1.6891","1.6891","1.6891"
"231","1.8088","1.8088","1.8088"
"232","1.8283","1.8283","1.8283"
"233","1.7076","1.7076","1.7076"
"234","1.7853","1.7853","1.7853"
"235","1.7911","1.7911","1.7911"
"236","1.7182","1.7182","1.7182"
"237","1.7158","1.7158","1.7158"
"238","1.8188","1.8188","1.8188"
"239","1.756","1.756","1.756"
"240","1.7711","1.7711","1.7711"
"241","1.7758","1.7758","1.7758"
"242","1.8053","1.8053","1.8053"
"243","1.7845","1.7845","1.7845"
"244","1.7629","1.7629","1.7629"
"245","1.7328","1.7328","1.7328"
"246","1.7555","1.7555","1.7555"
"247","1.744","1.744","1.744"
"248","1.7959","1.7959","1.7959"
"249","1.6745","1.6745","1.6745"
"250","1.7999","1.7999","1.7999"
"251","1.8009","1.8009","1.8009"
"252","1.7356","1.7356","1.7356"
"253","1.6506","1.6506","1.6506"
"254","1.7761","1.7761","1.7761"
"255","1.7446","1.7446","1.7446"
"256","1.7384","1.7384","1.7384"
"257","1.8461","1.8461","1.8461"
"258","1.8085","1.8085","1.8085"
"259","1.8149","1.8149","1.8149"
"260","1.7909","1.7909","1.7909"
"261","1.7583","1.7583","1.7583"
"262","1.761","1.761","1.761"
"263","1.8168","1.8168","1.8168"
"264","1.8472","1.8472","1.8472"
"265","1.7761","1.7761","1.7761"
"266","1.8328","1.8328","1.8328"
"267","1.8225","1.8225","1.8225"
"268","1.6746","1.6746","1.6746"
"269","1.6698","1.6698","1.6698"
"270","1.7104","1.7104","1.7104"
"271","1.6683","1.6683","1.6683"
"272","1.6742","1.6742","1.6742"
"273","1.6225","1.6225","1.6225"
"274","1.7153","1.7153","1.7153"
"275","1.6502","1.6502","1.6502"
"276","1.676","1.676","1.676"
"277","1.6147","1.6147","1.6147"
"278","1.6367","1.6367","1.6367"
"279","1.6532","1.6532","1.6532"
"280","1.7089","1.7089","1.7089"
"281","1.6621","1.6621","1.6621"
"282","1.671","1.671","1.671"
"283","1.6543","1.6543","1.6543"
"284","1.7487","1.7487","1.7487"
"285","1.7116","1.7116","1.7116"
"286","1.6189","1.6189","1.6189"
"287","1.6677","1.6677","1.6677"
"288","1.6765","1.6765","1.6765"
"289","1.647","1.647","1.647"
"290","1.6304","1.6304","1.6304"
"291","1.7095","1.7095","1.7095"
"292","1.675","1.675","1.675"
"293","1.6251","1.6251","1.6251"
"294","1.658","1.658","1.658"
"295","1.6643","1.6643","1.6643"
"296","1.7565","1.7565","1.7565"
"297","1.5854","1.5854","1.5854"
"298","1.6431","1.6431","1.6431"
"299","1.6313","1.6313","1.6313"
"300","1.6752","1.6752","1.6752"
"301","1.6642","1.6642","1.6642"
"302","1.6554","1.6554","1.6554"
"303","1.6566","1.6566","1.6566"
"304","1.6268","1.6268","1.6268"
"305","1.6688","1.6688","1.6688"
"306","1.7129","1.7129","1.7129"
"307","1.6653","1.6653","1.6653"
"308","1.706","1.706","1.706"
"309","1.6698","1.6698","1.6698"
"310","1.6805","1.6805","1.6805"
"311","1.6637","1.6637","1.6637"
"312","1.635","1.635","1.635"
"313","1.687","1.687","1.687"
"314","1.7003","1.7003","1.7003"
"315","1.6772","1.6772","1.6772"
"316","1.6598","1.6598","1.6598"
"317","1.6724","1.6724","1.6724"
"318","1.648","1.648","1.648"
"319","1.6644","1.6644","1.6644"
"320","1.6377","1.6377","1.6377"
