"Step","../output/proxy_alpaca_data.json - train/loss","../output/proxy_alpaca_data.json - train/loss__MIN","../output/proxy_alpaca_data.json - train/loss__MAX"
"0","1.7325","1.7325","1.7325"
"1","1.7963","1.7963","1.7963"
"2","1.7738","1.7738","1.7738"
"3","1.776","1.776","1.776"
"4","1.772","1.772","1.772"
"5","1.7201","1.7201","1.7201"
"6","1.7211","1.7211","1.7211"
"7","1.6931","1.6931","1.6931"
"8","1.6102","1.6102","1.6102"
"9","1.6248","1.6248","1.6248"
"10","1.598","1.598","1.598"
"11","1.5582","1.5582","1.5582"
"12","1.5433","1.5433","1.5433"
"13","1.5279","1.5279","1.5279"
"14","1.5275","1.5275","1.5275"
"15","1.4698","1.4698","1.4698"
"16","1.5012","1.5012","1.5012"
"17","1.4963","1.4963","1.4963"
"18","1.4214","1.4214","1.4214"
"19","1.44","1.44","1.44"
"20","1.4557","1.4557","1.4557"
"21","1.4221","1.4221","1.4221"
"22","1.4419","1.4419","1.4419"
"23","1.4408","1.4408","1.4408"
"24","1.417","1.417","1.417"
"25","1.3914","1.3914","1.3914"
"26","1.3605","1.3605","1.3605"
"27","1.3807","1.3807","1.3807"
"28","1.3661","1.3661","1.3661"
"29","1.3197","1.3197","1.3197"
"30","1.3591","1.3591","1.3591"
"31","1.3545","1.3545","1.3545"
"32","1.3741","1.3741","1.3741"
"33","1.3336","1.3336","1.3336"
"34","1.36","1.36","1.36"
"35","1.347","1.347","1.347"
"36","1.3088","1.3088","1.3088"
"37","1.3053","1.3053","1.3053"
"38","1.347","1.347","1.347"
"39","1.3266","1.3266","1.3266"
"40","1.3312","1.3312","1.3312"
"41","1.3646","1.3646","1.3646"
"42","1.2663","1.2663","1.2663"
"43","1.3023","1.3023","1.3023"
"44","1.3535","1.3535","1.3535"
"45","1.3569","1.3569","1.3569"
"46","1.3471","1.3471","1.3471"
"47","1.3106","1.3106","1.3106"
"48","1.2927","1.2927","1.2927"
"49","1.3045","1.3045","1.3045"
"50","1.3353","1.3353","1.3353"
"51","1.3351","1.3351","1.3351"
"52","1.2869","1.2869","1.2869"
"53","1.3349","1.3349","1.3349"
"54","1.3018","1.3018","1.3018"
"55","1.3438","1.3438","1.3438"
"56","1.3065","1.3065","1.3065"
"57","1.2981","1.2981","1.2981"
"58","1.3297","1.3297","1.3297"
"59","1.2879","1.2879","1.2879"
"60","1.3054","1.3054","1.3054"
"61","1.2687","1.2687","1.2687"
"62","1.3071","1.3071","1.3071"
"63","1.2873","1.2873","1.2873"
"64","1.2574","1.2574","1.2574"
"65","1.2825","1.2825","1.2825"
"66","1.3337","1.3337","1.3337"
"67","1.2707","1.2707","1.2707"
"68","1.2753","1.2753","1.2753"
"69","1.2874","1.2874","1.2874"
"70","1.3036","1.3036","1.3036"
"71","1.2578","1.2578","1.2578"
"72","1.2435","1.2435","1.2435"
"73","1.288","1.288","1.288"
"74","1.2496","1.2496","1.2496"
"75","1.2676","1.2676","1.2676"
"76","1.2733","1.2733","1.2733"
"77","1.3048","1.3048","1.3048"
"78","1.2977","1.2977","1.2977"
"79","1.2848","1.2848","1.2848"
"80","1.2952","1.2952","1.2952"
"81","1.2725","1.2725","1.2725"
"82","1.2791","1.2791","1.2791"
"83","1.2701","1.2701","1.2701"
"84","1.2704","1.2704","1.2704"
"85","1.2547","1.2547","1.2547"
"86","1.288","1.288","1.288"
"87","1.2827","1.2827","1.2827"
"88","1.2845","1.2845","1.2845"
"89","1.2581","1.2581","1.2581"
"90","1.2311","1.2311","1.2311"
"91","1.2937","1.2937","1.2937"
"92","1.2884","1.2884","1.2884"
"93","1.2551","1.2551","1.2551"
"94","1.2368","1.2368","1.2368"
"95","1.2584","1.2584","1.2584"
"96","1.2898","1.2898","1.2898"
"97","1.2373","1.2373","1.2373"
"98","1.3073","1.3073","1.3073"
"99","1.274","1.274","1.274"
"100","1.2563","1.2563","1.2563"
"101","1.2623","1.2623","1.2623"
"102","1.2356","1.2356","1.2356"
"103","1.1993","1.1993","1.1993"
"104","1.2325","1.2325","1.2325"
"105","1.1941","1.1941","1.1941"
"106","1.2169","1.2169","1.2169"
"107","1.2524","1.2524","1.2524"
"108","1.2327","1.2327","1.2327"
"109","1.2041","1.2041","1.2041"
"110","1.2273","1.2273","1.2273"
"111","1.2252","1.2252","1.2252"
"112","1.2151","1.2151","1.2151"
"113","1.2061","1.2061","1.2061"
"114","1.2655","1.2655","1.2655"
"115","1.2023","1.2023","1.2023"
"116","1.238","1.238","1.238"
"117","1.1749","1.1749","1.1749"
"118","1.2289","1.2289","1.2289"
"119","1.2216","1.2216","1.2216"
"120","1.2416","1.2416","1.2416"
"121","1.2193","1.2193","1.2193"
"122","1.2445","1.2445","1.2445"
"123","1.2487","1.2487","1.2487"
"124","1.1979","1.1979","1.1979"
"125","1.1967","1.1967","1.1967"
"126","1.1699","1.1699","1.1699"
"127","1.1847","1.1847","1.1847"
"128","1.2105","1.2105","1.2105"
"129","1.1837","1.1837","1.1837"
"130","1.1759","1.1759","1.1759"
"131","1.1668","1.1668","1.1668"
"132","1.2026","1.2026","1.2026"
"133","1.2379","1.2379","1.2379"
"134","1.1981","1.1981","1.1981"
"135","1.1906","1.1906","1.1906"
"136","1.1888","1.1888","1.1888"
"137","1.2058","1.2058","1.2058"
"138","1.1986","1.1986","1.1986"
"139","1.1895","1.1895","1.1895"
"140","1.1775","1.1775","1.1775"
"141","1.1663","1.1663","1.1663"
"142","1.2036","1.2036","1.2036"
"143","1.2327","1.2327","1.2327"
"144","1.1848","1.1848","1.1848"
"145","1.2252","1.2252","1.2252"
"146","1.2265","1.2265","1.2265"
"147","1.201","1.201","1.201"
"148","1.186","1.186","1.186"
"149","1.2069","1.2069","1.2069"
"150","1.1984","1.1984","1.1984"
"151","1.2082","1.2082","1.2082"
"152","1.2218","1.2218","1.2218"
"153","1.2702","1.2702","1.2702"
"154","1.1762","1.1762","1.1762"
"155","1.199","1.199","1.199"
"156","1.2056","1.2056","1.2056"
"157","1.2233","1.2233","1.2233"
"158","1.2084","1.2084","1.2084"
"159","1.2058","1.2058","1.2058"
"160","1.1767","1.1767","1.1767"
"161","1.1967","1.1967","1.1967"
"162","1.203","1.203","1.203"
"163","1.1983","1.1983","1.1983"
"164","1.2129","1.2129","1.2129"
"165","1.2132","1.2132","1.2132"
"166","1.1475","1.1475","1.1475"
"167","1.2107","1.2107","1.2107"
"168","1.2028","1.2028","1.2028"
"169","1.1987","1.1987","1.1987"
"170","1.1588","1.1588","1.1588"
"171","1.2312","1.2312","1.2312"
"172","1.1845","1.1845","1.1845"
"173","1.1994","1.1994","1.1994"
"174","1.1793","1.1793","1.1793"
"175","1.2178","1.2178","1.2178"
"176","1.1877","1.1877","1.1877"
"177","1.1888","1.1888","1.1888"
"178","1.229","1.229","1.229"
"179","1.2244","1.2244","1.2244"
"180","1.2033","1.2033","1.2033"
"181","1.1785","1.1785","1.1785"
"182","1.196","1.196","1.196"
"183","1.2233","1.2233","1.2233"
"184","1.2353","1.2353","1.2353"
"185","1.1899","1.1899","1.1899"
"186","1.1638","1.1638","1.1638"
"187","1.2107","1.2107","1.2107"
"188","1.1903","1.1903","1.1903"
"189","1.2073","1.2073","1.2073"
"190","1.1689","1.1689","1.1689"
"191","1.1713","1.1713","1.1713"
"192","1.2179","1.2179","1.2179"
"193","1.1825","1.1825","1.1825"
"194","1.2058","1.2058","1.2058"
"195","1.213","1.213","1.213"
"196","1.1865","1.1865","1.1865"
"197","1.2043","1.2043","1.2043"
"198","1.2211","1.2211","1.2211"
"199","1.1916","1.1916","1.1916"
"200","1.1958","1.1958","1.1958"
"201","1.1691","1.1691","1.1691"
"202","1.2058","1.2058","1.2058"
"203","1.1061","1.1061","1.1061"
"204","1.0995","1.0995","1.0995"
"205","1.1079","1.1079","1.1079"
"206","1.1341","1.1341","1.1341"
"207","1.105","1.105","1.105"
"208","1.049","1.049","1.049"
"209","1.109","1.109","1.109"
"210","1.0778","1.0778","1.0778"
"211","1.0684","1.0684","1.0684"
"212","1.0761","1.0761","1.0761"
"213","1.0962","1.0962","1.0962"
"214","1.0384","1.0384","1.0384"
"215","1.0717","1.0717","1.0717"
"216","1.1003","1.1003","1.1003"
"217","1.0863","1.0863","1.0863"
"218","1.0815","1.0815","1.0815"
"219","1.1295","1.1295","1.1295"
"220","1.0705","1.0705","1.0705"
"221","1.067","1.067","1.067"
"222","1.0536","1.0536","1.0536"
"223","1.057","1.057","1.057"
"224","1.0591","1.0591","1.0591"
"225","1.0952","1.0952","1.0952"
"226","1.0744","1.0744","1.0744"
"227","1.0856","1.0856","1.0856"
"228","1.0383","1.0383","1.0383"
"229","1.0519","1.0519","1.0519"
"230","1.0393","1.0393","1.0393"
"231","1.0893","1.0893","1.0893"
"232","1.055","1.055","1.055"
"233","1.0938","1.0938","1.0938"
"234","1.0854","1.0854","1.0854"
"235","1.0539","1.0539","1.0539"
"236","1.0724","1.0724","1.0724"
"237","1.0863","1.0863","1.0863"
"238","1.0572","1.0572","1.0572"
"239","1.072","1.072","1.072"
"240","1.0914","1.0914","1.0914"
"241","1.0662","1.0662","1.0662"
"242","1.1197","1.1197","1.1197"
"243","1.0723","1.0723","1.0723"
"244","1.1146","1.1146","1.1146"
"245","1.0809","1.0809","1.0809"
"246","1.1088","1.1088","1.1088"
"247","1.0322","1.0322","1.0322"
"248","1.0864","1.0864","1.0864"
"249","1.1059","1.1059","1.1059"
"250","1.0892","1.0892","1.0892"
"251","1.1267","1.1267","1.1267"
"252","1.0673","1.0673","1.0673"
"253","1.0591","1.0591","1.0591"
"254","1.1067","1.1067","1.1067"
"255","1.0662","1.0662","1.0662"
"256","1.0631","1.0631","1.0631"
"257","1.1091","1.1091","1.1091"
"258","1.0758","1.0758","1.0758"
"259","1.0711","1.0711","1.0711"
"260","1.0424","1.0424","1.0424"
"261","1.0893","1.0893","1.0893"
"262","1.0827","1.0827","1.0827"
"263","1.1121","1.1121","1.1121"
"264","1.0928","1.0928","1.0928"
"265","1.1243","1.1243","1.1243"
"266","1.0876","1.0876","1.0876"
"267","1.1228","1.1228","1.1228"
"268","1.0771","1.0771","1.0771"
"269","1.0841","1.0841","1.0841"
"270","1.0957","1.0957","1.0957"
"271","1.0745","1.0745","1.0745"
"272","1.0886","1.0886","1.0886"
"273","1.0893","1.0893","1.0893"
"274","1.1188","1.1188","1.1188"
"275","1.08","1.08","1.08"
"276","1.1155","1.1155","1.1155"
"277","1.0948","1.0948","1.0948"
"278","1.1105","1.1105","1.1105"
"279","1.1017","1.1017","1.1017"
"280","1.0744","1.0744","1.0744"
"281","1.0839","1.0839","1.0839"
"282","1.112","1.112","1.112"
"283","1.1066","1.1066","1.1066"
"284","1.0543","1.0543","1.0543"
"285","1.0608","1.0608","1.0608"
"286","1.0633","1.0633","1.0633"
"287","1.0969","1.0969","1.0969"
"288","1.1023","1.1023","1.1023"
"289","1.0828","1.0828","1.0828"
"290","1.0864","1.0864","1.0864"
"291","1.0912","1.0912","1.0912"
"292","1.0983","1.0983","1.0983"
"293","1.0751","1.0751","1.0751"
"294","1.112","1.112","1.112"
"295","1.0841","1.0841","1.0841"
"296","1.0831","1.0831","1.0831"
"297","1.1041","1.1041","1.1041"
"298","1.1035","1.1035","1.1035"
"299","1.1368","1.1368","1.1368"
"300","1.086","1.086","1.086"
"301","1.1377","1.1377","1.1377"
"302","1.1062","1.1062","1.1062"
"303","1.114","1.114","1.114"
"304","1.0746","1.0746","1.0746"
"305","0.9668","0.9668","0.9668"
"306","0.9245","0.9245","0.9245"
"307","0.9444","0.9444","0.9444"
"308","0.9248","0.9248","0.9248"
"309","0.8801","0.8801","0.8801"
"310","0.8909","0.8909","0.8909"
"311","0.9007","0.9007","0.9007"
"312","0.8708","0.8708","0.8708"
"313","0.9081","0.9081","0.9081"
"314","0.9002","0.9002","0.9002"
"315","0.89","0.89","0.89"
"316","0.9354","0.9354","0.9354"
"317","0.8886","0.8886","0.8886"
"318","0.9076","0.9076","0.9076"
"319","0.92","0.92","0.92"
"320","0.9285","0.9285","0.9285"
"321","0.8949","0.8949","0.8949"
"322","0.8804","0.8804","0.8804"
"323","0.8875","0.8875","0.8875"
"324","0.862","0.862","0.862"
"325","0.9022","0.9022","0.9022"
"326","0.9071","0.9071","0.9071"
"327","0.9171","0.9171","0.9171"
"328","0.9205","0.9205","0.9205"
"329","0.8817","0.8817","0.8817"
"330","0.8985","0.8985","0.8985"
"331","0.9319","0.9319","0.9319"
"332","0.8739","0.8739","0.8739"
"333","0.9188","0.9188","0.9188"
"334","0.9276","0.9276","0.9276"
"335","0.9052","0.9052","0.9052"
"336","0.881","0.881","0.881"
"337","0.8923","0.8923","0.8923"
"338","0.8744","0.8744","0.8744"
"339","0.9504","0.9504","0.9504"
"340","0.9173","0.9173","0.9173"
"341","0.8961","0.8961","0.8961"
"342","0.9259","0.9259","0.9259"
"343","0.8888","0.8888","0.8888"
"344","0.9269","0.9269","0.9269"
"345","0.9111","0.9111","0.9111"
"346","0.9022","0.9022","0.9022"
"347","0.9126","0.9126","0.9126"
"348","0.9215","0.9215","0.9215"
"349","0.9002","0.9002","0.9002"
"350","0.9365","0.9365","0.9365"
"351","0.9404","0.9404","0.9404"
"352","0.9205","0.9205","0.9205"
"353","0.8976","0.8976","0.8976"
"354","0.9523","0.9523","0.9523"
"355","0.9083","0.9083","0.9083"
"356","0.9061","0.9061","0.9061"
"357","0.9228","0.9228","0.9228"
"358","0.9291","0.9291","0.9291"
"359","0.9516","0.9516","0.9516"
"360","0.9158","0.9158","0.9158"
"361","0.9561","0.9561","0.9561"
"362","0.8873","0.8873","0.8873"
"363","0.9392","0.9392","0.9392"
"364","0.8944","0.8944","0.8944"
"365","0.9313","0.9313","0.9313"
"366","0.9383","0.9383","0.9383"
"367","0.9388","0.9388","0.9388"
"368","0.9213","0.9213","0.9213"
"369","0.9023","0.9023","0.9023"
"370","0.9301","0.9301","0.9301"
"371","0.9173","0.9173","0.9173"
"372","0.9315","0.9315","0.9315"
"373","0.9367","0.9367","0.9367"
"374","0.9264","0.9264","0.9264"
"375","0.8871","0.8871","0.8871"
