"Step","../output/proxy_alpacmygavel.json - train/loss","../output/proxy_alpacmygavel.json - train/loss__MIN","../output/proxy_alpacmygavel.json - train/loss__MAX"
"0","2.309","2.309","2.309"
"1","2.3678","2.3678","2.3678"
"2","2.3229","2.3229","2.3229"
"3","2.2601","2.2601","2.2601"
"4","2.141","2.141","2.141"
"5","2.1185","2.1185","2.1185"
"6","2.0399","2.0399","2.0399"
"7","2.0031","2.0031","2.0031"
"8","1.9348","1.9348","1.9348"
"9","1.8835","1.8835","1.8835"
"10","1.8905","1.8905","1.8905"
"11","1.8303","1.8303","1.8303"
"12","1.8038","1.8038","1.8038"
"13","1.7708","1.7708","1.7708"
"14","1.7136","1.7136","1.7136"
"15","1.6387","1.6387","1.6387"
"16","1.6667","1.6667","1.6667"
"17","1.6124","1.6124","1.6124"
"18","1.5281","1.5281","1.5281"
"19","1.5326","1.5326","1.5326"
"20","1.5444","1.5444","1.5444"
"21","1.4908","1.4908","1.4908"
"22","1.5516","1.5516","1.5516"
"23","1.5022","1.5022","1.5022"
"24","1.4886","1.4886","1.4886"
"25","1.4859","1.4859","1.4859"
"26","1.4885","1.4885","1.4885"
"27","1.4903","1.4903","1.4903"
"28","1.4795","1.4795","1.4795"
"29","1.4481","1.4481","1.4481"
"30","1.4318","1.4318","1.4318"
"31","1.4445","1.4445","1.4445"
"32","1.3747","1.3747","1.3747"
"33","1.3582","1.3582","1.3582"
"34","1.3723","1.3723","1.3723"
"35","1.372","1.372","1.372"
"36","1.2873","1.2873","1.2873"
"37","1.3058","1.3058","1.3058"
"38","1.2909","1.2909","1.2909"
"39","1.2421","1.2421","1.2421"
"40","1.2826","1.2826","1.2826"
"41","1.2529","1.2529","1.2529"
"42","1.2631","1.2631","1.2631"
"43","1.2519","1.2519","1.2519"
"44","1.256","1.256","1.256"
"45","1.2013","1.2013","1.2013"
"46","1.2186","1.2186","1.2186"
"47","1.2001","1.2001","1.2001"
"48","1.2224","1.2224","1.2224"
"49","1.2388","1.2388","1.2388"
"50","1.214","1.214","1.214"
"51","1.2572","1.2572","1.2572"
"52","1.2775","1.2775","1.2775"
"53","1.1968","1.1968","1.1968"
"54","1.1152","1.1152","1.1152"
"55","1.0276","1.0276","1.0276"
"56","1.009","1.009","1.009"
"57","1.0608","1.0608","1.0608"
"58","1.0161","1.0161","1.0161"
"59","1.0556","1.0556","1.0556"
"60","1.04","1.04","1.04"
"61","0.9941","0.9941","0.9941"
"62","1.047","1.047","1.047"
"63","0.966","0.966","0.966"
"64","0.9872","0.9872","0.9872"
"65","0.9935","0.9935","0.9935"
"66","0.9889","0.9889","0.9889"
"67","0.9833","0.9833","0.9833"
"68","0.9667","0.9667","0.9667"
"69","1.005","1.005","1.005"
"70","0.9636","0.9636","0.9636"
"71","0.9715","0.9715","0.9715"
"72","0.9044","0.9044","0.9044"
"73","0.7959","0.7959","0.7959"
"74","0.8077","0.8077","0.8077"
"75","0.7837","0.7837","0.7837"
"76","0.7713","0.7713","0.7713"
"77","0.7572","0.7572","0.7572"
"78","0.7505","0.7505","0.7505"
"79","0.7534","0.7534","0.7534"
"80","0.7146","0.7146","0.7146"
"81","0.7459","0.7459","0.7459"
"82","0.7123","0.7123","0.7123"
"83","0.7593","0.7593","0.7593"
"84","0.7506","0.7506","0.7506"
"85","0.7153","0.7153","0.7153"
"86","0.7611","0.7611","0.7611"
"87","0.7247","0.7247","0.7247"
"88","0.7466","0.7466","0.7466"
"89","0.7195","0.7195","0.7195"
"90","0.6162","0.6162","0.6162"
"91","0.5465","0.5465","0.5465"
"92","0.5472","0.5472","0.5472"
"93","0.5304","0.5304","0.5304"
"94","0.5219","0.5219","0.5219"
"95","0.5257","0.5257","0.5257"
"96","0.5032","0.5032","0.5032"
"97","0.5124","0.5124","0.5124"
"98","0.4894","0.4894","0.4894"
"99","0.4648","0.4648","0.4648"
"100","0.4889","0.4889","0.4889"
"101","0.4506","0.4506","0.4506"
"102","0.4675","0.4675","0.4675"
"103","0.4933","0.4933","0.4933"
"104","0.4906","0.4906","0.4906"
"105","0.4881","0.4881","0.4881"
"106","0.502","0.502","0.502"
"107","0.462","0.462","0.462"
"108","0.3883","0.3883","0.3883"
"109","0.3261","0.3261","0.3261"
"110","0.3214","0.3214","0.3214"
"111","0.3124","0.3124","0.3124"
"112","0.3033","0.3033","0.3033"
"113","0.2999","0.2999","0.2999"
"114","0.2893","0.2893","0.2893"
"115","0.2988","0.2988","0.2988"
"116","0.2798","0.2798","0.2798"
"117","0.2793","0.2793","0.2793"
"118","0.2893","0.2893","0.2893"
"119","0.2743","0.2743","0.2743"
"120","0.2925","0.2925","0.2925"
"121","0.2827","0.2827","0.2827"
"122","0.2923","0.2923","0.2923"
"123","0.2855","0.2855","0.2855"
"124","0.2746","0.2746","0.2746"
"125","0.2791","0.2791","0.2791"
"126","0.2339","0.2339","0.2339"
"127","0.1724","0.1724","0.1724"
"128","0.1731","0.1731","0.1731"
"129","0.1735","0.1735","0.1735"
"130","0.1694","0.1694","0.1694"
"131","0.1616","0.1616","0.1616"
"132","0.1599","0.1599","0.1599"
"133","0.1543","0.1543","0.1543"
"134","0.1562","0.1562","0.1562"
"135","0.1511","0.1511","0.1511"
"136","0.1457","0.1457","0.1457"
"137","0.151","0.151","0.151"
"138","0.1538","0.1538","0.1538"
"139","0.1594","0.1594","0.1594"
"140","0.1602","0.1602","0.1602"
"141","0.1527","0.1527","0.1527"
"142","0.145","0.145","0.145"
"143","0.1612","0.1612","0.1612"
"144","0.1183","0.1183","0.1183"
"145","0.0892","0.0892","0.0892"
"146","0.083","0.083","0.083"
"147","0.0858","0.0858","0.0858"
"148","0.0805","0.0805","0.0805"
"149","0.0851","0.0851","0.0851"
"150","0.0853","0.0853","0.0853"
"151","0.084","0.084","0.084"
"152","0.0736","0.0736","0.0736"
"153","0.0822","0.0822","0.0822"
"154","0.0799","0.0799","0.0799"
"155","0.0791","0.0791","0.0791"
"156","0.0844","0.0844","0.0844"
"157","0.0884","0.0884","0.0884"
"158","0.0871","0.0871","0.0871"
"159","0.0857","0.0857","0.0857"
"160","0.0889","0.0889","0.0889"
"161","0.0866","0.0866","0.0866"
"162","0.0698","0.0698","0.0698"
"163","0.0504","0.0504","0.0504"
"164","0.0453","0.0453","0.0453"
"165","0.0451","0.0451","0.0451"
"166","0.0486","0.0486","0.0486"
"167","0.0534","0.0534","0.0534"
"168","0.0473","0.0473","0.0473"
"169","0.0497","0.0497","0.0497"
"170","0.0496","0.0496","0.0496"
"171","0.0522","0.0522","0.0522"
"172","0.0534","0.0534","0.0534"
"173","0.0515","0.0515","0.0515"
"174","0.0513","0.0513","0.0513"
"175","0.0576","0.0576","0.0576"
"176","0.0559","0.0559","0.0559"
"177","0.0534","0.0534","0.0534"
"178","0.058","0.058","0.058"
"179","0.0553","0.0553","0.0553"
"180","0.0486","0.0486","0.0486"
"181","0.0331","0.0331","0.0331"
"182","0.0322","0.0322","0.0322"
"183","0.0337","0.0337","0.0337"
"184","0.0344","0.0344","0.0344"
"185","0.0302","0.0302","0.0302"
"186","0.0358","0.0358","0.0358"
"187","0.0374","0.0374","0.0374"
"188","0.0387","0.0387","0.0387"
"189","0.0397","0.0397","0.0397"
"190","0.0365","0.0365","0.0365"
"191","0.0421","0.0421","0.0421"
"192","0.0442","0.0442","0.0442"
"193","0.0386","0.0386","0.0386"
"194","0.0398","0.0398","0.0398"
"195","0.038","0.038","0.038"
"196","0.0394","0.0394","0.0394"
"197","0.0438","0.0438","0.0438"
"198","0.0392","0.0392","0.0392"
"199","0.025","0.025","0.025"
"200","0.0316","0.0316","0.0316"
"201","0.0281","0.0281","0.0281"
"202","0.0265","0.0265","0.0265"
"203","0.0267","0.0267","0.0267"
"204","0.0289","0.0289","0.0289"
"205","0.0332","0.0332","0.0332"
"206","0.0293","0.0293","0.0293"
"207","0.0322","0.0322","0.0322"
"208","0.0327","0.0327","0.0327"
"209","0.0313","0.0313","0.0313"
"210","0.0334","0.0334","0.0334"
"211","0.034","0.034","0.034"
"212","0.0338","0.0338","0.0338"
"213","0.0306","0.0306","0.0306"
"214","0.0354","0.0354","0.0354"
"215","0.0368","0.0368","0.0368"
"216","0.0352","0.0352","0.0352"
"217","0.0234","0.0234","0.0234"
"218","0.022","0.022","0.022"
"219","0.0247","0.0247","0.0247"
"220","0.0237","0.0237","0.0237"
"221","0.0259","0.0259","0.0259"
"222","0.0258","0.0258","0.0258"
"223","0.0259","0.0259","0.0259"
"224","0.0242","0.0242","0.0242"
"225","0.0298","0.0298","0.0298"
"226","0.0289","0.0289","0.0289"
"227","0.0274","0.0274","0.0274"
"228","0.0276","0.0276","0.0276"
"229","0.0284","0.0284","0.0284"
"230","0.0272","0.0272","0.0272"
"231","0.029","0.029","0.029"
"232","0.0283","0.0283","0.0283"
"233","0.031","0.031","0.031"
"234","0.0258","0.0258","0.0258"
"235","0.0188","0.0188","0.0188"
"236","0.0198","0.0198","0.0198"
"237","0.0199","0.0199","0.0199"
"238","0.018","0.018","0.018"
"239","0.0227","0.0227","0.0227"
"240","0.0223","0.0223","0.0223"
"241","0.0237","0.0237","0.0237"
"242","0.0206","0.0206","0.0206"
"243","0.0218","0.0218","0.0218"
"244","0.0213","0.0213","0.0213"
"245","0.0258","0.0258","0.0258"
