"Step","../output/proxy_alpacmygavel.json_2.7B - train/loss","../output/proxy_alpacmygavel.json_2.7B - train/loss__MIN","../output/proxy_alpacmygavel.json_2.7B - train/loss__MAX"
"0","2.2367","2.2367","2.2367"
"1","2.2984","2.2984","2.2984"
"2","2.2423","2.2423","2.2423"
"3","2.1592","2.1592","2.1592"
"4","2.0168","2.0168","2.0168"
"5","1.9936","1.9936","1.9936"
"6","1.9182","1.9182","1.9182"
"7","1.8852","1.8852","1.8852"
"8","1.8121","1.8121","1.8121"
"9","1.7642","1.7642","1.7642"
"10","1.761","1.761","1.761"
"11","1.6962","1.6962","1.6962"
"12","1.6673","1.6673","1.6673"
"13","1.6473","1.6473","1.6473"
"14","1.5893","1.5893","1.5893"
"15","1.5156","1.5156","1.5156"
"16","1.5424","1.5424","1.5424"
"17","1.4976","1.4976","1.4976"
"18","1.4086","1.4086","1.4086"
"19","1.4164","1.4164","1.4164"
"20","1.4309","1.4309","1.4309"
"21","1.3788","1.3788","1.3788"
"22","1.4314","1.4314","1.4314"
"23","1.3859","1.3859","1.3859"
"24","1.3804","1.3804","1.3804"
"25","1.3676","1.3676","1.3676"
"26","1.3726","1.3726","1.3726"
"27","1.3795","1.3795","1.3795"
"28","1.3683","1.3683","1.3683"
"29","1.343","1.343","1.343"
"30","1.3212","1.3212","1.3212"
"31","1.3315","1.3315","1.3315"
"32","1.2634","1.2634","1.2634"
"33","1.246","1.246","1.246"
"34","1.2657","1.2657","1.2657"
"35","1.2621","1.2621","1.2621"
"36","1.1644","1.1644","1.1644"
"37","1.1764","1.1764","1.1764"
"38","1.1574","1.1574","1.1574"
"39","1.1175","1.1175","1.1175"
"40","1.148","1.148","1.148"
"41","1.1248","1.1248","1.1248"
"42","1.126","1.126","1.126"
"43","1.1246","1.1246","1.1246"
"44","1.1194","1.1194","1.1194"
"45","1.0678","1.0678","1.0678"
"46","1.0877","1.0877","1.0877"
"47","1.0712","1.0712","1.0712"
"48","1.0888","1.0888","1.0888"
"49","1.0998","1.0998","1.0998"
"50","1.075","1.075","1.075"
"51","1.114","1.114","1.114"
"52","1.1363","1.1363","1.1363"
"53","1.063","1.063","1.063"
"54","0.9541","0.9541","0.9541"
"55","0.8598","0.8598","0.8598"
"56","0.8339","0.8339","0.8339"
"57","0.8828","0.8828","0.8828"
"58","0.8421","0.8421","0.8421"
"59","0.8564","0.8564","0.8564"
"60","0.8529","0.8529","0.8529"
"61","0.8008","0.8008","0.8008"
"62","0.8479","0.8479","0.8479"
"63","0.7788","0.7788","0.7788"
"64","0.8013","0.8013","0.8013"
"65","0.8067","0.8067","0.8067"
"66","0.7879","0.7879","0.7879"
"67","0.7885","0.7885","0.7885"
"68","0.7783","0.7783","0.7783"
"69","0.8077","0.8077","0.8077"
"70","0.7709","0.7709","0.7709"
"71","0.7799","0.7799","0.7799"
"72","0.673","0.673","0.673"
"73","0.5754","0.5754","0.5754"
"74","0.568","0.568","0.568"
"75","0.5726","0.5726","0.5726"
"76","0.5385","0.5385","0.5385"
"77","0.5346","0.5346","0.5346"
"78","0.5209","0.5209","0.5209"
"79","0.5133","0.5133","0.5133"
"80","0.4925","0.4925","0.4925"
"81","0.4982","0.4982","0.4982"
"82","0.4806","0.4806","0.4806"
"83","0.5198","0.5198","0.5198"
"84","0.4976","0.4976","0.4976"
"85","0.4868","0.4868","0.4868"
"86","0.5199","0.5199","0.5199"
"87","0.4953","0.4953","0.4953"
"88","0.5004","0.5004","0.5004"
"89","0.4926","0.4926","0.4926"
"90","0.377","0.377","0.377"
"91","0.3132","0.3132","0.3132"
"92","0.3103","0.3103","0.3103"
"93","0.2991","0.2991","0.2991"
"94","0.2995","0.2995","0.2995"
"95","0.2938","0.2938","0.2938"
"96","0.2721","0.2721","0.2721"
"97","0.282","0.282","0.282"
"98","0.2675","0.2675","0.2675"
"99","0.2591","0.2591","0.2591"
"100","0.2688","0.2688","0.2688"
"101","0.25","0.25","0.25"
"102","0.2569","0.2569","0.2569"
"103","0.2755","0.2755","0.2755"
"104","0.2647","0.2647","0.2647"
"105","0.266","0.266","0.266"
"106","0.28","0.28","0.28"
"107","0.2583","0.2583","0.2583"
"108","0.1836","0.1836","0.1836"
"109","0.1388","0.1388","0.1388"
"110","0.1327","0.1327","0.1327"
"111","0.1309","0.1309","0.1309"
"112","0.1323","0.1323","0.1323"
"113","0.1296","0.1296","0.1296"
"114","0.1203","0.1203","0.1203"
"115","0.1292","0.1292","0.1292"
"116","0.1289","0.1289","0.1289"
"117","0.1186","0.1186","0.1186"
"118","0.1297","0.1297","0.1297"
"119","0.125","0.125","0.125"
"120","0.1305","0.1305","0.1305"
"121","0.1314","0.1314","0.1314"
"122","0.1314","0.1314","0.1314"
"123","0.1283","0.1283","0.1283"
"124","0.126","0.126","0.126"
"125","0.129","0.129","0.129"
"126","0.0945","0.0945","0.0945"
"127","0.0585","0.0585","0.0585"
"128","0.0601","0.0601","0.0601"
"129","0.0648","0.0648","0.0648"
"130","0.065","0.065","0.065"
"131","0.0628","0.0628","0.0628"
"132","0.0647","0.0647","0.0647"
"133","0.0634","0.0634","0.0634"
"134","0.0627","0.0627","0.0627"
"135","0.0644","0.0644","0.0644"
"136","0.0627","0.0627","0.0627"
"137","0.0628","0.0628","0.0628"
"138","0.0637","0.0637","0.0637"
"139","0.0688","0.0688","0.0688"
"140","0.0656","0.0656","0.0656"
"141","0.0684","0.0684","0.0684"
"142","0.0632","0.0632","0.0632"
"143","0.069","0.069","0.069"
"144","0.0535","0.0535","0.0535"
"145","0.0388","0.0388","0.0388"
"146","0.0356","0.0356","0.0356"
"147","0.0348","0.0348","0.0348"
"148","0.0371","0.0371","0.0371"
"149","0.0374","0.0374","0.0374"
"150","0.0417","0.0417","0.0417"
"151","0.0383","0.0383","0.0383"
"152","0.0366","0.0366","0.0366"
"153","0.0405","0.0405","0.0405"
"154","0.0446","0.0446","0.0446"
"155","0.0403","0.0403","0.0403"
"156","0.0458","0.0458","0.0458"
"157","0.0415","0.0415","0.0415"
"158","0.0435","0.0435","0.0435"
"159","0.0447","0.0447","0.0447"
"160","0.0496","0.0496","0.0496"
"161","0.0383","0.0383","0.0383"
"162","0.0361","0.0361","0.0361"
"163","0.0245","0.0245","0.0245"
"164","0.0241","0.0241","0.0241"
"165","0.0256","0.0256","0.0256"
"166","0.0255","0.0255","0.0255"
"167","0.0312","0.0312","0.0312"
"168","0.0282","0.0282","0.0282"
"169","0.0264","0.0264","0.0264"
"170","0.034","0.034","0.034"
"171","0.0301","0.0301","0.0301"
"172","0.034","0.034","0.034"
"173","0.0269","0.0269","0.0269"
"174","0.0324","0.0324","0.0324"
"175","0.0314","0.0314","0.0314"
"176","0.0286","0.0286","0.0286"
"177","0.0333","0.0333","0.0333"
"178","0.0328","0.0328","0.0328"
"179","0.0295","0.0295","0.0295"
"180","0.0301","0.0301","0.0301"
"181","0.0195","0.0195","0.0195"
"182","0.0175","0.0175","0.0175"
"183","0.022","0.022","0.022"
"184","0.0211","0.0211","0.0211"
"185","0.0199","0.0199","0.0199"
"186","0.0202","0.0202","0.0202"
"187","0.0244","0.0244","0.0244"
